SKU,name_pl,name_en,name_de,desc_pl,desc_en,desc_de,price,cost,category_id,equipment_type,min_order_qty,technical_specs_json
HYD-011,Cylinder teleskopowy 5-stopniowy,Telescopic cylinder 5-stage,Teleskopzylinder 5-stufig,Siłownik teleskopowy jednostronnego działania,Single-acting telescopic cylinder,Einfachwirkender Teleskopzylinder,2899.99,1449.99,cat-hydraulika,Hydraulika,1,"{""stages"": 5, ""closed"": ""1200mm"", ""extended"": ""5500mm""}"
HYD-012,Pompa ręczna hydrauliczna,Manual hydraulic pump,Hydraulische Handpumpe,Pompa ręczna dwustronnego działania,Double-acting manual pump,Doppeltwirkende Handpumpe,299.99,149.99,cat-hydraulika,Hydraulika,1,"{""capacity"": ""0.5L"", ""pressure"": ""700bar"", ""type"": ""manual""}"
HYD-013,Zawór zwrotny CV10,Check valve CV10,Rückschlagventil CV10,Zawór zwrotny hydrauliczny,Hydraulic check valve,Hydraulisches Rückschlagventil,129.99,64.99,cat-hydraulika,Hydraulika,2,"{""pressure"": ""420bar"", ""flow"": ""100L/min"", ""cracking"": ""0.5bar""}"
HYD-014,Rozdzielacz proporcjonalny,Proportional valve,Proportionalventil,Zawór proporcjonalny elektrohydrauliczny,Electrohydraulic proportional valve,Elektrohydraulisches Proportionalventil,3499.99,1749.99,cat-hydraulika,Hydraulika,1,"{""control"": ""electronic"", ""flow"": ""120L/min"", ""voltage"": ""24VDC""}"
HYD-015,Cylinder kompaktowy 40/22,Compact cylinder 40/22,Kompaktzylinder 40/22,Siłownik kompaktowy krótki,Short compact cylinder,Kurzer Kompaktzylinder,899.99,449.99,cat-hydraulika,Hydraulika,1,"{""bore"": ""40mm"", ""rod"": ""22mm"", ""stroke"": ""150mm""}"
HYD-016,Pompa wielotłokowa PV7,Multi-piston pump PV7,Mehrkolbenpumpe PV7,Pompa wielotłokowa zmiennego wydatku,Variable displacement multi-piston pump,Mehrkolbenpumpe mit verstellbarem Hubvolumen,3299.99,1649.99,cat-hydraulika,Hydraulika,1,"{""displacement"": ""16cc"", ""pressure"": ""320bar"", ""speed"": ""2500rpm""}"
HYD-017,Zawór dławiący regulowany,Adjustable throttle valve,Einstellbares Drosselventil,Zawór dławiący z regulacją przepływu,Flow control throttle valve,Durchflussregelventil,199.99,99.99,cat-hydraulika,Hydraulika,2,"{""flow"": ""0-60L/min"", ""pressure"": ""350bar"", ""adjustment"": ""manual""}"
HYD-018,Blok zaworowy custom,Custom valve block,Kundenspezifischer Ventilblock,Blok zaworowy na zamówienie,Custom-made valve block,Kundenspezifischer Ventilblock,1999.99,999.99,cat-hydraulika,Hydraulika,1,"{""ports"": 8, ""material"": ""aluminum"", ""pressure"": ""350bar""}"
HYD-019,Cylinder z tłumienie,Cushioned cylinder,Zylinder mit Dämpfung,Siłownik z tłumieniem końcowym,End-cushioned cylinder,Enddämpfungszylinder,1499.99,749.99,cat-hydraulika,Hydraulika,1,"{""bore"": ""63mm"", ""rod"": ""36mm"", ""cushion"": ""both ends""}"
HYD-020,Pompa ratunkowa PTO,PTO emergency pump,PTO-Notpumpe,Pompa hydrauliczna z napędem WOM,PTO-driven hydraulic pump,WOM-angetriebene Hydraulikpumpe,1799.99,899.99,cat-hydraulika,Hydraulika,1,"{""displacement"": ""45cc"", ""pressure"": ""250bar"", ""connection"": ""PTO""}"
FLT-001,Filtr oleju silnikowego HF35000,Engine oil filter HF35000,Motorölfilter HF35000,Filtr oleju silnikowego wysokowydajny,High-performance engine oil filter,Hochleistungs-Motorölfilter,49.99,24.99,cat-filtry,Filtry,2,"{""filtration"": ""25μm"", ""flow"": ""150L/min"", ""bypass"": ""1.7bar""}"
FLT-002,Filtr paliwa FF5052,Fuel filter FF5052,Kraftstofffilter FF5052,Filtr paliwa z separatorem wody,Fuel filter with water separator,Kraftstofffilter mit Wasserabscheider,79.99,39.99,cat-filtry,Filtry,2,"{""filtration"": ""5μm"", ""efficiency"": ""98%"", ""separator"": true}"
FLT-003,Filtr powietrza AF25550,Air filter AF25550,Luftfilter AF25550,Filtr powietrza kabinowy z węglem,Cabin air filter with carbon,Kabinenluftfilter mit Aktivkohle,89.99,44.99,cat-filtry,Filtry,1,"{""filtration"": ""PM2.5"", ""carbon"": true, ""efficiency"": ""99%""}"
FLT-004,Filtr hydrauliczny HF6555,Hydraulic filter HF6555,Hydraulikfilter HF6555,Wkład filtra hydraulicznego zwrotnego,Return line hydraulic filter element,Rücklauf-Hydraulikfilterelement,69.99,34.99,cat-filtry,Filtry,2,"{""filtration"": ""10μm"", ""flow"": ""80L/min"", ""pressure"": ""21bar""}"
FLT-005,Filtr oleju przekładniowego,Transmission oil filter,Getriebeölfilter,Filtr oleju skrzyni biegów,Gearbox oil filter,Getriebeölfilter,59.99,29.99,cat-filtry,Filtry,2,"{""filtration"": ""20μm"", ""flow"": ""60L/min"", ""type"": ""spin-on""}"
FLT-006,Separator oleju,Oil separator,Ölabscheider,Separator oleju sprężarkowego,Compressor oil separator,Kompressor-Ölabscheider,129.99,64.99,cat-filtry,Filtry,1,"{""efficiency"": ""99.9%"", ""pressure"": ""16bar"", ""flow"": ""200m3/h""}"
FLT-007,Filtr ssący z magnesem,Suction filter with magnet,Saugfilter mit Magnet,Filtr ssący z wkładem magnetycznym,Suction strainer with magnetic insert,Saugsieb mit Magneteinsatz,149.99,74.99,cat-filtry,Filtry,1,"{""filtration"": ""100μm"", ""magnet"": true, ""flow"": ""120L/min""}"
FLT-008,Wkład filtra kabinowego,Cabin filter element,Kabinenfilterelement,Wkład filtra klimatyzacji,Air conditioning filter element,Klimaanlagenfilterelement,39.99,19.99,cat-filtry,Filtry,2,"{""filtration"": ""PM10"", ""dimensions"": ""250x200x30mm"", ""type"": ""pleated""}"
FLT-009,Filtr AdBlue,AdBlue filter,AdBlue-Filter,Filtr mocznika AdBlue,AdBlue urea filter,AdBlue-Harnstofffilter,45.99,22.99,cat-filtry,Filtry,2,"{""filtration"": ""50μm"", ""flow"": ""20L/min"", ""material"": ""stainless""}"
FLT-010,Filtr oleju hydraulicznego HF7474,Hydraulic oil filter HF7474,Hydrauliköl-Filter HF7474,Filtr oleju hydraulicznego ciśnieniowy,Pressure line hydraulic oil filter,Druckleitung-Hydraulikölfilter,99.99,49.99,cat-filtry,Filtry,2,"{""filtration"": ""3μm"", ""flow"": ""150L/min"", ""pressure"": ""420bar""}"
FLT-011,Separator wody z paliwa,Fuel water separator,Kraftstoff-Wasserabscheider,Separator wody z paliwa z grzałką,Fuel water separator with heater,Kraftstoff-Wasserabscheider mit Heizung,189.99,94.99,cat-filtry,Filtry,1,"{""filtration"": ""5μm"", ""heater"": ""12V"", ""capacity"": ""500ml""}"
FLT-012,Filtr powietrza silnika AF26400,Engine air filter AF26400,Motor-Luftfilter AF26400,Filtr powietrza silnika główny,Primary engine air filter,Primärer Motorluftfilter,119.99,59.99,cat-filtry,Filtry,1,"{""filtration"": ""99.5%"", ""flow"": ""800m3/h"", ""type"": ""radial seal""}"
FLT-013,Filtr bezpieczeństwa AF26401,Safety air filter AF26401,Sicherheitsluftfilter AF26401,Filtr powietrza bezpieczeństwa,Secondary safety air filter,Sekundärer Sicherheitsluftfilter,79.99,39.99,cat-filtry,Filtry,1,"{""filtration"": ""99.9%"", ""flow"": ""800m3/h"", ""type"": ""safety""}"
FLT-014,Filtr oleju kompresora,Compressor oil filter,Kompressor-Ölfilter,Filtr oleju sprężarki powietrza,Air compressor oil filter,Luftkompressor-Ölfilter,69.99,34.99,cat-filtry,Filtry,2,"{""filtration"": ""15μm"", ""flow"": ""40L/min"", ""pressure"": ""25bar""}"
FLT-015,Wkład filtra paliwa WF2075,Fuel filter element WF2075,Kraftstofffilter-Element WF2075,Wkład filtra paliwa z separacją,Fuel filter element with separation,Kraftstofffilter-Element mit Abscheidung,54.99,27.49,cat-filtry,Filtry,2,"{""filtration"": ""2μm"", ""efficiency"": ""99%"", ""flow"": ""100L/h""}"
FLT-016,Filtr hydrauliczny powrotny RF110,Return filter RF110,Rücklauffilter RF110,Filtr hydrauliczny linii powrotnej,Hydraulic return line filter,Hydraulik-Rücklauffilter,179.99,89.99,cat-filtry,Filtry,1,"{""filtration"": ""10μm"", ""flow"": ""200L/min"", ""indicator"": ""visual""}"
FLT-017,Filtr oleju przekładni hydrostatycznej,Hydrostatic transmission filter,Hydrostatgetriebe-Filter,Filtr oleju przekładni hydrostatycznej,Hydrostatic transmission oil filter,Hydrostatgetriebe-Ölfilter,89.99,44.99,cat-filtry,Filtry,2,"{""filtration"": ""10μm"", ""flow"": ""80L/min"", ""bypass"": ""2bar""}"
FLT-018,Separator oleju sprężarki śrubowej,Screw compressor oil separator,Schraubenkompressor-Ölabscheider,Separator oleju sprężarki śrubowej,Screw compressor oil separator element,Schraubenkompressor-Ölabscheider-Element,249.99,124.99,cat-filtry,Filtry,1,"{""efficiency"": ""99.99%"", ""pressure"": ""13bar"", ""life"": ""4000h""}"
FLT-019,Filtr wstępny paliwa,Pre-fuel filter,Vorkraftstofffilter,Filtr wstępny paliwa z osadnikiem,Pre-fuel filter with sediment bowl,Vorkraftstofffilter mit Sedimentschale,34.99,17.49,cat-filtry,Filtry,3,"{""filtration"": ""150μm"", ""bowl"": ""transparent"", ""flow"": ""150L/h""}"
FLT-020,Filtr oleju skrzyni mostowej,Axle oil filter,Achsölfilter,Filtr oleju mostu napędowego,Drive axle oil filter,Antriebsachsen-Ölfilter,64.99,32.49,cat-filtry,Filtry,2,"{""filtration"": ""25μm"", ""flow"": ""50L/min"", ""magnet"": true}"
SPW-001,Przewód hydrauliczny 2SN DN12,Hydraulic hose 2SN DN12,Hydraulikschlauch 2SN DN12,Przewód hydrauliczny dwuoplotowy,Two-wire braided hydraulic hose,Zweifach geflochtener Hydraulikschlauch,15.99,7.99,cat-osprzet,Osprzęt,5,"{""pressure"": ""400bar"", ""diameter"": ""12mm"", ""type"": ""2SN""}"
SPW-002,Złączka hydrauliczna JIC 1/2,JIC hydraulic fitting 1/2,JIC-Hydraulikverbindung 1/2,Złączka hydrauliczna JIC gwint 1/2,JIC hydraulic thread fitting 1/2,JIC-Hydraulikgewindeverbindung 1/2,8.99,4.49,cat-osprzet,Osprzęt,10,"{""thread"": ""JIC 1/2"", ""pressure"": ""420bar"", ""material"": ""steel""}"
SPW-003,Końcówka hydrauliczna ORFS 16,ORFS hydraulic end 16,ORFS-Hydraulikende 16,Końcówka hydrauliczna ORFS 16mm,ORFS hydraulic fitting 16mm,ORFS-Hydraulikverbindung 16mm,12.99,6.49,cat-osprzet,Osprzęt,10,"{""size"": ""16mm"", ""pressure"": ""420bar"", ""seal"": ""O-ring""}"
SPW-004,Adapter metryczny M22x1.5,Metric adapter M22x1.5,Metrischer Adapter M22x1.5,Adapter hydrauliczny metryczny,Metric hydraulic adapter,Metrischer Hydraulikadapter,6.99,3.49,cat-osprzet,Osprzęt,10,"{""thread"": ""M22x1.5"", ""pressure"": ""350bar"", ""type"": ""straight""}"
SPW-005,Szybkozłącze hydrauliczne ISO A,Hydraulic quick coupler ISO A,Hydraulik-Schnellkupplung ISO A,Szybkozłącze hydrauliczne ISO A,ISO A hydraulic quick coupling,ISO A Hydraulik-Schnellkupplung,45.99,22.99,cat-osprzet,Osprzęt,2,"{""size"": ""1/2"", ""pressure"": ""350bar"", ""standard"": ""ISO 7241-A""}"
SPW-006,Korek spustowy magnetyczny M18,Magnetic drain plug M18,Magnetischer Ablassstopfen M18,Korek spustowy z magnesem M18x1.5,Magnetic drain plug M18x1.5,Magnetischer Ablassstopfen M18x1.5,9.99,4.99,cat-osprzet,Osprzęt,5,"{""thread"": ""M18x1.5"", ""magnet"": true, ""material"": ""steel""}"
SPW-007,Manometr hydrauliczny 0-400bar,Hydraulic pressure gauge 0-400bar,Hydraulik-Manometer 0-400bar,Manometr hydrauliczny glyserynowy,Glycerin-filled hydraulic pressure gauge,Glyzerin-gefülltes Hydraulik-Manometer,29.99,14.99,cat-osprzet,Osprzęt,2,"{""range"": ""0-400bar"", ""diameter"": ""63mm"", ""connection"": ""G1/4""}"
SPW-008,Zawór kulowy hydrauliczny 1/2,Hydraulic ball valve 1/2,Hydraulik-Kugelhahn 1/2,Zawór kulowy hydrauliczny wysokociśnieniowy,High-pressure hydraulic ball valve,Hochdruck-Hydraulik-Kugelhahn,89.99,44.99,cat-osprzet,Osprzęt,2,"{""size"": ""1/2"", ""pressure"": ""500bar"", ""material"": ""stainless""}"
SPW-009,Opaska zaciskowa 20-32mm,Hose clamp 20-32mm,Schlauchschelle 20-32mm,Opaska zaciskowa robaczkowa,Worm drive hose clamp,Schneckenantrieb-Schlauchschelle,2.99,1.49,cat-osprzet,Osprzęt,20,"{""range"": ""20-32mm"", ""width"": ""9mm"", ""material"": ""stainless""}"
SPW-010,Przewód teflonowy PTFE DN6,PTFE Teflon hose DN6,PTFE-Teflonschlauch DN6,Przewód teflonowy wysokociśnieniowy,High-pressure PTFE hose,Hochdruck-PTFE-Schlauch,25.99,12.99,cat-osprzet,Osprzęt,3,"{""pressure"": ""400bar"", ""diameter"": ""6mm"", ""temp"": ""-40 to +200C""}"
SPW-011,Złączka kolanko 90° JIC,90° elbow JIC fitting,90°-Winkel JIC-Verbindung,Złączka kątowa 90° JIC,90° angle JIC fitting,90°-Winkel JIC-Verbindung,14.99,7.49,cat-osprzet,Osprzęt,5,"{""angle"": ""90°"", ""thread"": ""JIC"", ""pressure"": ""420bar""}"
SPW-012,Trójnik hydrauliczny T-kształtny,T-shaped hydraulic tee,T-förmiges Hydraulik-T-Stück,Trójnik hydrauliczny równoprzelotowy,Equal hydraulic tee fitting,Gleiches Hydraulik-T-Stück,18.99,9.49,cat-osprzet,Osprzęt,5,"{""type"": ""T-tee"", ""pressure"": ""350bar"", ""ports"": 3}"
SPW-013,Redukcja hydrauliczna 1/2-3/8,Hydraulic reducer 1/2-3/8,Hydraulik-Reduzierstück 1/2-3/8,Redukcja hydrauliczna gwintowana,Threaded hydraulic reducer,Hydraulik-Gewindereduzierstück,7.99,3.99,cat-osprzet,Osprzęt,10,"{""from"": ""1/2"", ""to"": ""3/8"", ""pressure"": ""350bar""}"
SPW-014,Nakrętka kołpakowa M16,Cap nut M16,Hutmutter M16,Nakrętka kołpakowa ocynkowana,Galvanized cap nut,Verzinkte Hutmutter,1.99,0.99,cat-osprzet,Osprzęt,50,"{""thread"": ""M16"", ""material"": ""steel"", ""coating"": ""zinc""}"
SPW-015,Uszczelka miedziana 16x22x1.5,Copper washer 16x22x1.5,Kupferscheibe 16x22x1.5,Uszczelka miedziana płaska,Flat copper sealing washer,Flache Kupferdichtscheibe,0.99,0.49,cat-osprzet,Osprzęt,100,"{""inner"": ""16mm"", ""outer"": ""22mm"", ""thickness"": ""1.5mm""}"
SPW-016,Pierścień O-ring 20x3 NBR,O-ring 20x3 NBR,O-Ring 20x3 NBR,Pierścień uszczelniający NBR,NBR sealing O-ring,NBR-Dichtungs-O-Ring,1.49,0.74,cat-osprzet,Osprzęt,50,"{""inner"": ""20mm"", ""cord"": ""3mm"", ""material"": ""NBR70""}"
SPW-017,Zaślepka hydrauliczna G1/2,Hydraulic plug G1/2,Hydraulik-Verschlussstopfen G1/2,Zaślepka hydrauliczna gwintowana,Threaded hydraulic plug,Hydraulik-Gewindeverschluss,4.99,2.49,cat-osprzet,Osprzęt,10,"{""thread"": ""G1/2"", ""pressure"": ""400bar"", ""material"": ""steel""}"
SPW-018,Nypel hydrauliczny prosty,Straight hydraulic nipple,Gerader Hydrauliknippel,Nypel hydrauliczny dwustronny,Double-ended hydraulic nipple,Doppelseitiger Hydrauliknippel,5.99,2.99,cat-osprzet,Osprzęt,10,"{""thread"": ""M16x1.5"", ""length"": ""40mm"", ""pressure"": ""350bar""}"
SPW-019,Szybkozłącze pneumatyczne,Pneumatic quick coupler,Pneumatik-Schnellkupplung,Szybkozłącze pneumatyczne,Pneumatic quick coupling,Pneumatik-Schnellkupplung,12.99,6.49,cat-osprzet,Osprzęt,5,"{""size"": ""1/4"", ""pressure"": ""16bar"", ""flow"": ""2000L/min""}"
SPW-020,Wąż spiralny pneumatyczny 8mm,Spiral pneumatic hose 8mm,Spiral-Pneumatikschlauch 8mm,Wąż spiralny poliuretanowy,Polyurethane spiral hose,Polyurethan-Spiralschlauch,19.99,9.99,cat-osprzet,Osprzęt,3,"{""diameter"": ""8mm"", ""length"": ""10m"", ""pressure"": ""12bar""}"
LŁ-001,Łożysko kulkowe 6205 2RS,Ball bearing 6205 2RS,Kugellager 6205 2RS,Łożysko kulkowe szczelne dwustronne,Double-sealed ball bearing,Doppelt abgedichtetes Kugellager,24.99,12.49,cat-lozyska,Łożyska,2,"{""bore"": ""25mm"", ""outer"": ""52mm"", ""width"": ""15mm""}"
LŁ-002,Łożysko stożkowe 32008,Tapered roller bearing 32008,Kegelrollenlager 32008,Łożysko stożkowe jednorzędowe,Single-row tapered roller bearing,Einreihiges Kegelrollenlager,34.99,17.49,cat-lozyska,Łożyska,2,"{""bore"": ""40mm"", ""outer"": ""68mm"", ""width"": ""19mm""}"
LŁ-003,Łożysko igiełkowe NK 25/20,Needle bearing NK 25/20,Nadellager NK 25/20,Łożysko igiełkowe bez pierścieni,Needle roller bearing without rings,Nadelrollenlager ohne Ringe,18.99,9.49,cat-lozyska,Łożyska,5,"{""bore"": ""25mm"", ""outer"": ""33mm"", ""width"": ""20mm""}"
LŁ-004,Łożysko wahliwe 22210,Spherical roller bearing 22210,Pendelrollenlager 22210,Łożysko baryłkowe dwurzędowe,Double-row spherical roller bearing,Zweireihiges Pendelrollenlager,89.99,44.99,cat-lozyska,Łożyska,1,"{""bore"": ""50mm"", ""outer"": ""90mm"", ""width"": ""23mm""}"
LŁ-005,Łożysko kulkowe skośne 7208,Angular contact bearing 7208,Schrägkugellager 7208,Łożysko kulkowe skośne jednorzędowe,Single-row angular contact bearing,Einreihiges Schrägkugellager,54.99,27.49,cat-lozyska,Łożyska,2,"{""bore"": ""40mm"", ""outer"": ""80mm"", ""angle"": ""40°""}"
LŁ-006,Łożysko walcowe NU 309,Cylindrical roller bearing NU 309,Zylinderrollenlager NU 309,Łożysko walcowe jednorzędowe,Single-row cylindrical roller bearing,Einreihiges Zylinderrollenlager,79.99,39.99,cat-lozyska,Łożyska,1,"{""bore"": ""45mm"", ""outer"": ""100mm"", ""width"": ""25mm""}"
LŁ-007,Łożysko kulkowe 6308 ZZ,Ball bearing 6308 ZZ,Kugellager 6308 ZZ,Łożysko kulkowe osłonięte,Shielded ball bearing,Abgeschirmtes Kugellager,29.99,14.99,cat-lozyska,Łożyska,2,"{""bore"": ""40mm"", ""outer"": ""90mm"", ""width"": ""23mm""}"
LŁ-008,Łożysko oporowe 51108,Thrust bearing 51108,Axiallager 51108,Łożysko oporowe kulkowe,Thrust ball bearing,Axial-Kugellager,19.99,9.99,cat-lozyska,Łożyska,5,"{""bore"": ""40mm"", ""outer"": ""60mm"", ""width"": ""13mm""}"
LŁ-009,Łożysko stożkowe 30206,Tapered roller bearing 30206,Kegelrollenlager 30206,Łożysko stożkowe metryczne,Metric tapered roller bearing,Metrisches Kegelrollenlager,28.99,14.49,cat-lozyska,Łożyska,2,"{""bore"": ""30mm"", ""outer"": ""62mm"", ""width"": ""17.25mm""}"
LŁ-010,Łożysko kulkowe samoustalające 1206,Self-aligning bearing 1206,Pendelkugellager 1206,Łożysko kulkowe dwurzędowe samoustalające,Double-row self-aligning ball bearing,Zweireihiges Pendelkugellager,32.99,16.49,cat-lozyska,Łożyska,2,"{""bore"": ""30mm"", ""outer"": ""62mm"", ""width"": ""16mm""}"
LŁ-011,Łożysko igiełkowe z pierścieniem NA 4906,Needle bearing with ring NA 4906,Nadellager mit Ring NA 4906,Łożysko igiełkowe z pierścieniem wewnętrznym,Needle roller bearing with inner ring,Nadelrollenlager mit Innenring,42.99,21.49,cat-lozyska,Łożyska,2,"{""bore"": ""30mm"", ""outer"": ""47mm"", ""width"": ""17mm""}"
LŁ-012,Łożysko kulkowe 6004 2RS,Ball bearing 6004 2RS,Kugellager 6004 2RS,Łożysko kulkowe szczelne,Sealed ball bearing,Abgedichtetes Kugellager,14.99,7.49,cat-lozyska,Łożyska,5,"{""bore"": ""20mm"", ""outer"": ""42mm"", ""width"": ""12mm""}"
LŁ-013,Łożysko stożkowe 32212,Tapered roller bearing 32212,Kegelrollenlager 32212,Łożysko stożkowe ciężkie,Heavy-duty tapered roller bearing,Schwerlast-Kegelrollenlager,64.99,32.49,cat-lozyska,Łożyska,1,"{""bore"": ""60mm"", ""outer"": ""110mm"", ""width"": ""23.75mm""}"
LŁ-014,Łożysko walcowe NJ 2208,Cylindrical roller bearing NJ 2208,Zylinderrollenlager NJ 2208,Łożysko walcowe z kołnierzem,Cylindrical roller bearing with flange,Zylinderrollenlager mit Flansch,69.99,34.99,cat-lozyska,Łożyska,1,"{""bore"": ""40mm"", ""outer"": ""80mm"", ""width"": ""23mm""}"
LŁ-015,Łożysko kulkowe 6210 C3,Ball bearing 6210 C3,Kugellager 6210 C3,Łożysko kulkowe z luzem C3,Ball bearing with C3 clearance,Kugellager mit C3-Spiel,26.99,13.49,cat-lozyska,Łożyska,2,"{""bore"": ""50mm"", ""outer"": ""90mm"", ""clearance"": ""C3""}"
LŁ-016,Łożysko wahliwe 23120,Spherical roller bearing 23120,Pendelrollenlager 23120,Łożysko baryłkowe z tulejką zaciskową,Spherical roller bearing with adapter sleeve,Pendelrollenlager mit Spannhülse,149.99,74.99,cat-lozyska,Łożyska,1,"{""bore"": ""100mm"", ""outer"": ""165mm"", ""width"": ""52mm""}"
LŁ-017,Łożysko kulkowe skośne 7305,Angular contact bearing 7305,Schrägkugellager 7305,Łożysko kulkowe skośne precyzyjne,Precision angular contact bearing,Präzisions-Schrägkugellager,44.99,22.49,cat-lozyska,Łożyska,2,"{""bore"": ""25mm"", ""outer"": ""62mm"", ""angle"": ""40°""}"
LŁ-018,Łożysko oporowe walcowe 81108,Thrust roller bearing 81108,Axial-Rollenlager 81108,Łożysko oporowe walcowe,Thrust cylindrical roller bearing,Axial-Zylinderrollenlager,34.99,17.49,cat-lozyska,Łożyska,2,"{""bore"": ""40mm"", ""outer"": ""60mm"", ""width"": ""13mm""}"
LŁ-019,Łożysko kulkowe 6306 2RSH,Ball bearing 6306 2RSH,Kugellager 6306 2RSH,Łożysko kulkowe szczelne wysokoobrotowe,High-speed sealed ball bearing,Hochgeschwindigkeits-Kugellager,31.99,15.99,cat-lozyska,Łożyska,2,"{""bore"": ""30mm"", ""outer"": ""72mm"", ""speed"": ""high""}"
LŁ-020,Łożysko stożkowe 33108,Tapered roller bearing 33108,Kegelrollenlager 33108,Łożysko stożkowe z tulejką,Tapered roller bearing with sleeve,Kegelrollenlager mit Hülse,52.99,26.49,cat-lozyska,Łożyska,1,"{""bore"": ""40mm"", ""outer"": ""75mm"", ""width"": ""26mm""}"
SIL-001,Silnik elektryczny 3kW 1400rpm,Electric motor 3kW 1400rpm,Elektromotor 3kW 1400rpm,Silnik elektryczny trójfazowy,Three-phase electric motor,Drehstrom-Elektromotor,899.99,449.99,cat-silniki,Silniki,1,"{""power"": ""3kW"", ""speed"": ""1400rpm"", ""voltage"": ""400V""}"
SIL-002,Silnik hydrauliczny OMM32,Hydraulic motor OMM32,Hydraulikmotor OMM32,Silnik hydrauliczny orbit małogabarytowy,Compact orbit hydraulic motor,Kompakter Orbit-Hydraulikmotor,449.99,224.99,cat-silniki,Silniki,1,"{""displacement"": ""32cc"", ""pressure"": ""175bar"", ""speed"": ""1500rpm""}"
SIL-003,Silnik pneumatyczny 0.5kW,Pneumatic motor 0.5kW,Pneumatikmotor 0.5kW,Silnik pneumatyczny łopatkowy,Vane-type pneumatic motor,Flügelzellen-Pneumatikmotor,349.99,174.99,cat-silniki,Silniki,1,"{""power"": ""0.5kW"", ""pressure"": ""6bar"", ""speed"": ""3000rpm""}"
